epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28969,3.66246,7.27226,1.35394,0.0002,0.02857,0.00016,5e-05,3.72804,6.25586,1.21091,0.000332367,0.000332367,0.000332367
2,18.5073,3.53652,5.47392,1.20828,0.05046,0.07786,0.03106,0.00825,3.28491,5.18685,1.11686,0.000599137,0.000599137,0.000599137
3,27.6962,3.268,4.66159,1.13307,0.44448,0.14293,0.14833,0.04726,3.08078,4.45465,1.07181,0.000799247,0.000799247,0.000799247
4,36.8929,3.09895,4.28763,1.07903,0.30971,0.25269,0.19859,0.07454,2.92688,4.14309,1.03884,0.00070003,0.00070003,0.00070003
5,46.2175,2.95204,3.7766,1.0591,0.3905,0.23789,0.26043,0.08936,2.85587,3.76443,1.01812,0.00060004,0.00060004,0.00060004
6,55.675,2.88071,3.53893,1.03177,0.38135,0.25855,0.27388,0.08882,2.80517,3.44879,1.00894,0.00050005,0.00050005,0.00050005
7,65.1157,2.84901,3.48654,1.01457,0.49501,0.33041,0.33248,0.13088,2.72487,3.32463,0.99051,0.00040006,0.00040006,0.00040006
8,74.6112,2.7117,3.27078,1.00481,0.50102,0.3629,0.38151,0.14311,2.70927,3.24089,0.98142,0.00030007,0.00030007,0.00030007
9,84.1786,2.70955,3.24627,0.98942,0.52415,0.36092,0.40485,0.15971,2.62612,3.11217,0.97367,0.00020008,0.00020008,0.00020008
10,93.6764,2.63411,3.06171,0.99692,0.50909,0.36857,0.39937,0.16686,2.58224,3.03115,0.96586,0.00010009,0.00010009,0.00010009
